name-of-company,review,name-of-job,location,salary
TalentKompass Deutschland,,Junior Python Developer (Remote Internship – IT),"London, England",
Amazon Data Services UK Ltd,3.8 ,2023 Software Development Engineer Internship,"London, England",
TalentKompass Deutschland,,Junior Frontend Developer (Remote Internship – IT),"London, England",
Vodafone,4.0 ,Software Engineer,"London, England",£34K - £56K 
"JPMorgan Chase Bank, N.A.",4.1 ,Software Engineer,"London, England",£70K - £120K 
Perlego,4.3 ,Software Engineering Internship,"London, England",£25K
EDF Limited,3.8 ,Software Engineer (Backend),"London, England",£48K - £65K 
Affirm,3.9 ,(New Grad) Software Engineer- UK,"London, England",£51K - £78K 
Next DLP,5.0 ,Graduate/Junior Frontend Developer,"London, England",£55K - £75K 
S&P Global,4.1 ,Software Engineer - Summer Intern,"London, England",
Oxford Quantum Circuits,5.0 ,Junior Software Engineer,"Reading, England",£28K - £35K
Lloyds Banking Group,3.8 ,"Java Software Engineer, London, Payment Services","London, England",£72K - £80K
Lloyds Banking Group,3.8 ,Backend Software Engineer,"London, England",£61K - £99K
Legal & General Investment Management,3.9 ,Software Engineer Apprentice,"Hove, England",£25K
Apple,4.2 ,"Apple Media Products (AMP) - Software Engineer, Spark Engineering","London, England",
"JPMorgan Chase Bank, N.A.",4.1 ,Backend Software Engineer,"London, England",
Monzo,3.9 ,Backend Engineer,"London, England",£75K - £100K
Kroo,4.5 ,Software Engineer-Full stack (Junior Level),"London, England",£54K - £65K 
Burberry,3.5 ,Software Engineer,"London, England",£39K - £48K 
MRI Software,3.6 ,Graduate Software Engineer,"London, England",£34K - £44K 
Amadeus,3.7 ,Software Development Engineer,"London, England",£48K - £54K 
"JPMorgan Chase Bank, N.A.",4.1 ,Python Software Engineer III,"London, England",£70K - £120K 
Helvar Ltd,4.0 ,Graduate Software Developer / Engineer,"London, England",£49K - £61K 
Peak Production Equipment LTD,,Software Test Engineer,"Letchworth, England",£40K - £60K
Honeywell,4.0 ,Intern – Web App Developer,"Horsham, England",
Amadeus,3.7 ,Software Development Engineer Intern,"London, England",
Funding Circle UK,4.1 ,Software Engineer - Career Comeback opportunity,"London, England",£66K - £90K 
NatWest Group,4.0 ,DevOps Engineer Apprenticeship,"London, England",£22K - £26K
Prosper Robotics,,Founding Software Engineer,"London, England",£90K - £110K
NatWest Group,4.0 ,Software Engineer,"London, England",£51K - £70K 
Elekta,3.4 ,Graduate Software Engineer,"Crawley, West Sussex, South East England, England",£38K - £60K 
PA Consulting,3.9 ,Software Development Consultant Apprentice,"London, England",£24K
NatWest Group,4.0 ,DevOps Engineer,"London, England",£54K - £74K 
Schlumberger,4.0 ,Back-End Software Engineer (Intern),"Crawley, West Sussex, South East England, England",
Remit Resources,5.0 ,Software Tester,"London, England",£50K - £60K
LEGO,4.5 ,"Software Engineer - Play (C++, C# )","London, England",£60K - £69K 
Datavant,4.7 ,"Full Stack Software Engineer, Convenet","London, England",£40K - £145K
Riverbright,,Graduate Software Engineer,"London, England",£45K
"JPMorgan Chase Bank, N.A.",4.1 ,Go lang Software Engineer II,"London, England",£70K - £120K 
"JPMorgan Chase Bank, N.A.",4.1 ,"2024 Software Engineer Program - Full-time - Bournemouth, Glasgow & London (February Start)","London, England",£70K - £120K 
Veeva Systems,4.1 ,Frontend Engineer (React/Remote),"London, England",£39K - £48K 
Acre,,Graduate Frontend Software Engineer,"London, England",
Funding Circle UK,4.1 ,Software Engineer (US) - Hybrid or Remote,"London, England",£66K - £90K 
Bally's Interactive,3.8 ,Graduate Software Engineer,"London, England",£50K - £70K 
Visa,3.9 ,Web 3 Software Engineer,"London, England",£45K - £69K 
Visa,3.9 ,Software Engineer,"Reading, England",£38K - £50K 
Bloomberg,4.1 ,2022 Software Engineer,"London, England",£84K - £129K 
Moley robotics,3.3 ,Robotics Software Engineer,"London, England",£46K - £100K 
BT Group,3.8 ,Software Engineer,"London, England",£30K - £50K 
Keysight Technologies,4.2 ,Software Development Engineer Intern,"Fleet, South East England, England",
Citi,3.9 ,"2023, EMEA, Enterprise Infrastructure Operations and Technology, Technology, Graduate Software Engineer, London, United Kingdom","London, England",
Amadeus,3.7 ,Software Development Engineer Graduate,"London, England",£49K - £55K 
Nimbus Agency,,Software Developer,"London, England",£35K - £50K
Société Générale,3.6 ,Trainee Software Engineer,"London, England",£77K - £91K 
Reqiva Ltd,4.5 ,Software Engineer,"London, England",£45K
Third Bridge,3.4 ,Software Engineer,"London, England",£66K - £80K 
BAE Systems,4.0 ,Junior Software Engineer,"New Malden, England",£31K
Reqiva Ltd,4.5 ,Software Engineer | Python,"Milton Keynes, England",£45K - £60K
Coforge Ltd,4.0 ,Junior Software Engineer,"Milton Keynes, England",£30K - £35K
LEGO,4.5 ,Software Engineer - Shopper Technology,"London, England",£60K - £69K 
EDF Limited,3.8 ,Software Engineer (Web/Mobile),"London, England",£46K - £67K 
University of Reading,4.2 ,Digital Learning Developer,"Reading, England",£33K - £40K
ComplyAdvantage,4.2 ,Junior Software Engineer (Python OR Kotlin OR Java),"London, England",£65K - £80K 
Deutsche Bank,3.9 ,Agile Software Engineer,"London, England",£60K - £89K 
Snapchat,3.9 ,"Software Engineer, Full Stack","London, England",£85K - £94K 
Aras Corporation,3.5 ,Software Solutions Engineer,"London, England",£78K - £130K 
Reqiva Ltd,4.5 ,Data Software Engineer | Python,"London, England",£55K - £75K
Source Group International,4.5 ,"Software Engineer - C#, .Net, Multithreading, SQL","London, England",£75.00 - £81.25 Per Hour
Acre,,Graduate Backend Software Engineer,"London, England",
Riverbright,,Graduate / Junior Software Engineer - Systems / Low Level Applications,"London, England",£45K - £60K
Simply Business,4.1 ,Software Engineer,"London, England",£62K - £78K 
Aubay,3.9 ,Full Stack Software Engineer,"London, England",£65K - £85K
Deeper Insights,4.6 ,"Software Engineer, UK","London, England",£46K - £70K 
EDF Limited,3.8 ,Software Engineers (Full-Stack),"London, England",£50K - £64K 
IBM,4.0 ,Fullstack Engineer,"London, England",£42K - £58K 
Pearson Carter,4.6 ,SOFTWARE ENGINEER Full Time Permanent,"London, England",£40K - £60K
Stacklok,,Software Engineer,"London, England",
Source Group International,4.5 ,Junior Full Stack Engineer,"London, England",£50K
BeyondTrust,4.4 ,Junior Software Engineer,"London, England",£42K - £68K 
Odin,3.3 ,Frontend Engineer (Contract),"London, England",£47K - £70K 
Glasshouse Recruitment,,Software Engineer - Python (Junior - Senior),"Cambridge, East of England, England",£37K - £95K
ONNEC Group,3.3 ,Software Developer,"London, England",£60K
Splunk,4.0 ,Software Engineer (Indexing),"London, England",£60K - £72K 
BAE Systems,4.0 ,Software Engineer - London,"London, England",£33K - £44K 
CHARM Therapeutics,5.0 ,Associate Software Engineer,"London, England",£58K - £108K 
Quarsh,5.0 ,DevOps Engineer,"London, England",£70K - £90K
YouLend Ltd.,4.1 ,Software Engineer,"London, England",£45K - £70K
NOMURA,4.0 ,Information Technology - Summer Internship,"London, England",£89K - £94K 
TELUS Agriculture & Consumer Goods,3.8 ,.Net Software Engineer,"London, England",£37K - £78K 
Next DLP,5.0 ,Junior Systems Software Engineer,"London, England",£44K - £71K 
Deutsche Bank,3.9 ,Agile Software Engineer,"London, England",£60K - £89K 
Aubay,3.9 ,Full Stack Software Engineer,"London, England",£65K - £85K
EDF Limited,3.8 ,Software Engineers (Full-Stack),"London, England",£50K - £64K 
IBM,4.0 ,Fullstack Engineer,"London, England",£42K - £58K 
Pearson Carter,4.6 ,SOFTWARE ENGINEER Full Time Permanent,"London, England",£40K - £60K
Source Group International,4.5 ,Junior Full Stack Engineer,"London, England",£50K
Glasshouse Recruitment,,Software Engineer - Python (Junior - Senior),"Cambridge, East of England, England",£37K - £95K
ONNEC Group,3.3 ,Software Developer,"London, England",£60K
Splunk,4.0 ,Software Engineer (Indexing),"London, England",£60K - £72K 
BAE Systems,4.0 ,Software Engineer - London,"London, England",£33K - £44K 
CHARM Therapeutics,5.0 ,Associate Software Engineer,"London, England",£58K - £108K 
Quarsh,5.0 ,DevOps Engineer,"London, England",£70K - £90K
YouLend Ltd.,4.1 ,Software Engineer,"London, England",£45K - £70K
TELUS Agriculture & Consumer Goods,3.8 ,.Net Software Engineer,"London, England",£37K - £78K 
