name-of-company,review,name-of-job,location,salary
SPECTRUM,3.3 ,Sr Site Reliability Engineer (Hybrid),"Greenwood Village, CO",
Particle Measuring Systems,3.4 ,Sr. Engineering Software Support Specialist,"Boulder, CO",$80K - $90K
Thompson Software Solutions,,Senior Software Engineer (C++),"Littleton, CO",$120K - $155K
Zynex Medical,4.3 ,.NET Software Developer,"Englewood, CO",$70K - $110K
Starfall Education Foundation,,Software Systems Engineer,"Boulder, CO",$90K - $145K
SAGEMCOM (92500),3.7 ,Software Developer (Embedded Linux),"Denver, CO",$80K - $115K
"Medpace, Inc.",3.2 ,"Manager, Software Development","Denver, CO",$140K - $190K
Comcast,3.8 ,"Software Engineer (JavaScript), Player Platform - VIPER","Englewood, CO",$108K - $163K
SciTec,4.1 ,"C++ Senior Software Engineer - Boulder, CO","Boulder, CO",$135K - $166K
Comcast,3.8 ,Software Development Engineer 3 (Full Stack),"Englewood, CO",$108K - $163K
Jobot,4.5 ,Embedded Data Engineer,"Boulder, CO",$125K - $175K
Comcast,3.8 ,"Sr. Storage Software Engineer, VIPER","Denver, CO",$119K - $178K
Ophir Corporation,2.5 ,Firmware Engineer III,"Littleton, CO",$120K - $160K
Raytheon Intelligence & Space,3.7 ,Principle Software Engineer (Hybrid),"Aurora, CO",
Inovonics,3.9 ,Sr. Firmware Engineer,"Westminster, CO",$85K - $105K
Comcast,3.8 ,"Engineer 3, Software Development & Engineering – Cloud Capacity Planning","Englewood, CO",$108K - $163K
AllHealth Network,3.9 ,"Software Engineer - $3,000 Sign On Bonus","Englewood, CO",$70K - $87K
Comcast,3.8 ,iOS Developer 3,"Denver, CO",$108K - $163K
SciTec,4.1 ,Software Engineering Technical Lead,"Boulder, CO",$140K - $180K
SciTec,4.1 ,Software Test Engineer,"Boulder, CO",$105K - $155K
Comcast,3.8 ,Senior Java Engineer,"Englewood, CO",$125K - $187K
Jobot,4.5 ,Rust Solutions Engineer - Remote,"Denver, CO",$125K - $300K
Comcast,3.8 ,"Android Engineer, VIPER Player Platform (Remote or Onsite)","Denver, CO",$81K - $121K
Computershare,3.6 ,Software Developer (BPM/Workflow/Pega),"Greenwood Village, CO",$80K - $114K
ONEflight International,,"Mid-Level Software Engineer, .NET Full Stack","Englewood, CO",$95K - $115K
Creative Financial Staffing,4.7 ,Software Engineer,"Denver, CO",$100K - $130K
"Digitech Systems, LLC.",3.6 ,Web Developer (5 exp required),"Greenwood Village, CO",$70K - $85K
Service Core,4.5 ,Software Engineer 1,"Denver, CO",$70K - $90K
Geekseat USA LLC,3.2 ,Firmware Engineer III,"Littleton, CO",$112K - $135K
Aegis Premier Technologies,4.1 ,Senior C# Software Engineer,"Westminster, CO",$83K - $119K 
Raytheon Intelligence & Space,3.7 ,Senior Java Software Engineer (Onsite),"Aurora, CO",
FIS,3.7 ,Software Engineer,"Denver, CO",$76K - $106K 
FJA-US Inc.,3.4 ,Software Engineer I,"Denver, CO",$75K
Confidential,,"Senior Software Engineer, Backend","Denver, CO",$75K - $150K
Jobot,4.5 ,Linux Application Developer,"Boulder, CO",$45.00 - $60.00 Per Hour
Creative Financial Staffing,4.7 ,Senior Software Developer,"Denver, CO",$115K - $144K
Comcast,3.8 ,"Engineer 3, Network Engineering - Software Defined Networking","Centennial, CO",$80K - $120K
Raytheon Intelligence & Space,3.7 ,Software Engineer II - Onsite,"Aurora, CO",
Travelport,3.6 ,Software Development Engineer I,"Englewood, CO",$65K - $75K
Faith Technologies Inc.,3.5 ,Automation Engineer - Industrial Manufacturing,United States,
Raytheon Intelligence & Space,3.7 ,Web Developer / Software Engineer (Onsite),"Aurora, CO",
"Garmin International, Inc.",4.0 ,Software Engineer 1,"Boulder, CO",$74K - $100K 
Raytheon Intelligence & Space,3.7 ,Principal Software Engineer (Onsite),"Aurora, CO",
Zynex Medical,4.3 ,Senior Software Engineer,"Boulder, CO",$90K - $140K
RiverPoint,4.2 ,.NET Developer,United States,
INA Solution,,Full Stack Developer,"Denver, CO",$35.00 - $40.00 Per Hour
Sthavirsoft Inc,,Software Engineer IV,"Denver, CO",$41.07 - $60.00 Per Hour
DaqScribe Solutions,5.0 ,Jr. Software Engineer,"Centennial, CO",$72K - $108K 
Jobot,4.5 ,Lead Software Engineer,"Denver, CO",$150K - $180K
Xactus,2.7 ,Software Engineer,"Denver, CO",$100K - $130K
Interclypse Inc,4.7 ,Software Engineer,"Aurora, CO",$90K - $240K
System One,4.0 ,Sr. Software Systems & Development Engineer,"Littleton, CO",$55.06 Per Hour
AgentSync,4.1 ,Software Engineer,"Denver, CO",$77K - $114K 
Businessolver,4.0 ,DevOps Engineer (Remote within the USA),"Denver, CO",$80K - $110K
Service Core,4.5 ,Software Engineer 2,"Denver, CO",$90K - $130K
P2 Energy Solutions,4.0 ,Associate Software Engineer,"Denver, CO",$64K - $92K 
FJA-US Inc.,3.4 ,Software Engineer II,"Denver, CO",$115K
"Terumo BCT, Inc.",3.7 ,Associate Software Engineer,"Lakewood, CO",$89K - $111K
DeNOVO Solutions,4.5 ,Junior Software Engineer,"Aurora, CO",$95K - $129K
Red Canyon Engineering & Software,3.9 ,Software Test Engineer,"Denver, CO",$69K - $101K 
DealersLink,4.7 ,Junior Web UI Developer,"Broomfield, CO",
CACI,3.9 ,Software Engineer,"Aurora, CO",
REI Systems,3.5 ,DevOps/Python Engineer,United States,
Woodridge Software,4.5 ,Front End Software Engineer,"Golden, CO",$65K - $85K
ClientSolv Technologies,3.6 ,Front End Software Engineer,"Meridian, CO",$120K
Kaseware,,DevOps Engineer,"Denver, CO",$100K - $140K
